"Date","Total Sales","Total Commission","New Sales","Renewals","Refunds",
"Feb 10, 2022","$1,647.15","$882.16","$524.81","$1,122.34","-$247.32",
"Feb 11, 2022","$1,634.46","$1,049.46","$702.80","$931.66","",
"Feb 12, 2022","$1,228.62","$755.76","$164.79","$1,063.83","",
"Feb 13, 2022","$1,660.70","$1,033.49","$688.30","$972.40","",
"Feb 14, 2022","$1,944.50","$1,067.68","$704.44","$1,240.06","-$255.62",
"Feb 15, 2022","$2,281.66","$1,395.45","$817.31","$1,464.35","-$84.53",
"Feb 16, 2022","$1,741.43","$996.46","$1,001.05","$740.38","-$137.48",
"Feb 17, 2022","$1,159.11","$569.45","$784.40","$374.71","-$192.83",
"Feb 18, 2022","$1,742.30","$1,055.13","$464.80","$1,277.50","-$85.52",
"Feb 19, 2022","$659.88","$353.76","$107.54","$552.34","-$89.27",
"Feb 20, 2022","$974.67","$613.82","$319.95","$654.72","",
"Feb 21, 2022","$1,025.04","$477.21","$742.85","$282.19","-$282.70",
"Feb 22, 2022","$1,916.36","$1,010.93","$589.64","$1,326.72","-$338.83",
"Feb 23, 2022","$1,683.17","$990.66","$967.12","$716.05","-$79.00",
"Feb 24, 2022","$746.84","$366.92","$158.00","$588.84","-$176.07",
"Feb 25, 2022","$1,489.07","$821.40","$692.59","$796.48","-$197.78",
"Feb 26, 2022","$719.66","$456.74","$158.00","$561.66","",
"Feb 27, 2022","$381.13","$226.39","$182.49","$198.64","",
"Feb 28, 2022","$821.44","$413.46","$634.44","$187.00","-$173.80",
"Mar 1, 2022","$2,077.46","$1,142.07","$726.20","$1,351.26","-$269.87",
"Mar 2, 2022","$1,531.41","$840.62","$740.93","$790.48","-$187.90",
"Mar 3, 2022","$858.55","$440.00","$511.20","$347.35","-$178.80",
"Mar 4, 2022","$1,708.82","$989.38","$390.83","$1,317.99","-$108.90",
"Mar 5, 2022","$1,017.97","$533.63","$504.75","$513.22","-$149.00",
"Mar 6, 2022","$1,285.40","$733.78","$474.22","$811.18","-$99.00",
"Mar 7, 2022","$872.06","$373.06","$613.84","$258.22","-$264.09",
"Mar 8, 2022","$2,327.11","$1,394.97","$1,173.69","$1,153.42","-$79.00",
"Mar 9, 2022","$2,040.00","$1,119.87","$1,210.21","$829.79","-$271.79",
"Mar 10, 2022","$1,927.47","$1,080.99","$719.86","$1,207.61","-$208.43",
"Mar 11, 2022","$1,107.51","$539.82","$327.78","$779.73","-$233.73",
"Mar 12, 2022","$427.43","$259.63","$85.32","$342.11","",
"Mar 13, 2022","$656.19","$413.94","$79.00","$577.19","",
"Mar 14, 2022","$1,267.17","$633.56","$682.62","$584.55","-$239.85",
"Mar 15, 2022","$1,739.56","$854.64","$801.78","$937.78","-$343.22",
"Mar 16, 2022","$1,206.80","$767.35","$749.92","$456.88","",
"Mar 17, 2022","$1,281.06","$545.89","$265.17","$1,015.89","-$426.80",
"Mar 18, 2022","$1,231.22","$780.76","$376.00","$855.22","",
"Mar 19, 2022","$878.39","$560.72","$173.80","$704.59","",
"Mar 20, 2022","$857.06","$561.21","$178.00","$679.06","",
"Mar 21, 2022","$783.79","$441.08","$502.68","$281.11","-$90.85",
"Mar 22, 2022","$1,669.44","$1,049.23","$567.65","$1,101.79","",
"Mar 23, 2022","$1,889.02","$1,061.56","$858.75","$1,030.27","-$178.00",
"Mar 24, 2022","$1,721.38","$1,001.80","$711.64","$1,009.74","-$149.00",
"Mar 25, 2022","$1,145.19","$555.73","$554.73","$590.46","-$228.00",
"Mar 26, 2022","$554.17","$293.62","$189.85","$364.32","-$83.35",
"Mar 27, 2022","$1,195.73","$705.99","$346.02","$849.71","",
"Mar 28, 2022","$1,082.94","$646.42","$808.02","$274.92","",
"Mar 29, 2022","$1,318.62","$760.72","$770.11","$548.51","-$99.00",
"Mar 30, 2022","$1,296.61","$678.39","$704.25","$592.36","-$149.00",
"Mar 31, 2022","$1,981.46","$1,154.42","$994.07","$987.39","-$138.19",
"Apr 1, 2022","$1,483.65","$853.22","$407.43","$1,076.22","-$86.01",
"Apr 2, 2022","$1,055.34","$660.93","$323.93","$731.41","",
"Apr 3, 2022","$799.69","$507.23","$281.69","$518.00","",
"Apr 4, 2022","$381.70","$80.50","$207.90","$173.80","-$260.70",
"Apr 5, 2022","$1,548.35","$849.23","$784.92","$763.43","-$189.60",
"Apr 6, 2022","$1,409.09","$479.22","$659.51","$749.58","-$578.70",
"Apr 7, 2022","$1,875.26","$1,042.77","$582.87","$1,292.39","-$162.35",
"Apr 8, 2022","$1,358.45","$754.10","$327.00","$1,031.45","-$149.00",
"Apr 9, 2022","$1,108.87","$708.00","$307.00","$801.87","",
"Apr 10, 2022","$964.02","$427.15","$371.58","$592.44","-$272.80",
"Apr 11, 2022","$1,095.81","$465.63","$404.67","$691.14","-$313.93",
"Apr 12, 2022","$2,337.05","$1,285.99","$1,015.15","$1,321.90","-$333.84",
"Apr 13, 2022","$2,246.21","$1,183.04","$905.23","$1,340.98","-$399.39",
"Apr 14, 2022","$1,473.26","$864.34","$700.85","$772.41","-$95.59",
"Apr 15, 2022","$944.59","$495.11","$149.00","$795.59","-$195.80",
"Apr 16, 2022","$1,255.50","$723.36","$79.00","$1,176.50","-$79.00",
"Apr 17, 2022","$693.07","$434.78","$160.47","$532.60","",
"Apr 18, 2022","$842.37","$461.22","$367.05","$475.32","-$111.87",
"Apr 19, 2022","$1,959.44","$936.94","$1,273.19","$686.25","-$446.71",
"Apr 20, 2022","$1,794.09","$949.47","$440.80","$1,353.29","-$223.74",
"Apr 21, 2022","$1,644.48","$1,022.10","$494.35","$1,150.13","",
"Apr 22, 2022","$1,903.62","$1,187.32","$541.57","$1,362.05","",
"Apr 23, 2022","$1,005.24","$552.99","$410.08","$595.16","-$95.59",
"Apr 24, 2022","$559.79","$356.12","$99.00","$460.79","",
"Apr 25, 2022","$1,075.55","$607.96","$783.72","$291.83","-$90.85",
"Apr 26, 2022","$1,183.68","$286.86","$392.00","$791.68","-$723.03",
"Apr 27, 2022","$1,878.13","$1,120.14","$588.04","$1,290.09","-$90.85",
"Apr 28, 2022","$2,553.85","$1,514.81","$1,052.61","$1,501.24","-$129.00",
"Apr 29, 2022","$1,305.13","$767.56","$198.00","$1,107.13","-$79.00",
"Apr 30, 2022","$1,257.60","$642.07","$169.83","$1,087.77","-$198.00",
"May 1, 2022","$410.71","$260.01","","$410.71","",
"May 2, 2022","$956.55","$534.23","$473.91","$482.64","-$113.83",
"May 3, 2022","$1,760.01","$1,122.14","$691.60","$1,068.41","",
"May 4, 2022","$1,338.59","$513.53","$586.07","$752.52","-$508.68",
"May 5, 2022","$1,039.05","$594.55","$293.45","$745.60","-$111.87",
"May 6, 2022","$1,884.05","$1,082.46","$267.57","$1,616.48","-$199.75",
"May 7, 2022","$1,483.19","$935.38","$466.63","$1,016.56","",
"May 8, 2022","$248.85","$107.07","$90.85","$158.00","-$96.38",
"May 9, 2022","$1,075.36","$556.24","$451.80","$623.56","-$183.93",
"May 10, 2022","$1,819.64","$1,035.41","$578.70","$1,240.94","-$158.00",
"May 11, 2022","$2,511.63","$1,631.74","$1,807.00","$704.63","",
"May 12, 2022","$2,105.19","$1,262.79","$849.26","$1,255.93","-$99.00",
"May 13, 2022","$2,480.35","$1,416.89","$569.47","$1,910.88","-$206.54",
"May 14, 2022","$1,419.96","$841.95","$376.99","$1,042.97","-$111.87",
"May 15, 2022","$975.15","$578.78","$306.66","$668.49","",
"May 16, 2022","$1,985.89","$1,048.60","$1,344.89","$641.00","-$287.00",
"May 17, 2022","$1,264.36","$700.52","$562.90","$701.46","-$99.00",
"May 18, 2022","$1,207.77","$661.79","$588.23","$619.54","-$159.88",
"May 19, 2022","$2,109.83","$1,294.54","$1,239.24","$870.59","",
"May 20, 2022","$1,672.88","$861.27","$712.41","$960.47","-$285.44",
"May 21, 2022","$1,229.98","$699.77","$456.96","$773.02","-$99.00",
"May 22, 2022","$791.43","$428.03","$355.79","$435.64","-$108.90",
"May 23, 2022","$1,344.83","$834.14","$892.21","$452.62","",
"May 24, 2022","$1,306.54","$619.97","$1,148.54","$158.00","-$296.38",
"May 25, 2022","$1,468.13","$658.36","$930.58","$537.55","-$410.37",
"May 26, 2022","$882.36","$455.10","$207.90","$674.46","-$189.85",
"May 27, 2022","$1,673.47","$900.07","$307.83","$1,365.64","-$212.85",
"May 28, 2022","$871.32","$474.26","$215.98","$655.34","-$99.00",
"May 29, 2022","$291.55","$112.62","","$291.55","-$106.92",
"May 30, 2022","$1,193.07","$526.09","$760.41","$432.66","-$331.75",
"May 31, 2022","$1,564.96","$550.78","$706.57","$858.39","-$620.80",
"Jun 1, 2022","$776.17","$326.05","$509.42","$266.75","-$254.82",
"Jun 2, 2022","$2,912.89","$1,772.39","$1,668.53","$1,244.36","-$58.31",
"Jun 3, 2022","$1,448.38","$783.72","$273.59","$1,174.79","-$217.80",
"Jun 4, 2022","$326.00","$187.49","$99.00","$227.00","-$49.00",
"Jun 5, 2022","$561.72","$307.45","$360.95","$200.77","-$83.94",
"Jun 6, 2022","$824.95","$447.79","$542.67","$282.28","-$118.80",
"Jun 7, 2022","$844.51","$487.53","$445.80","$398.71","-$58.80",
"Jun 8, 2022","$1,683.60","$861.37","$605.61","$1,077.99","-$307.00",
"Jun 9, 2022","$1,680.29","$847.49","$484.67","$1,195.62","-$338.47",
"Jun 10, 2022","$1,085.14","$634.83","$589.61","$495.53","-$113.83",
"Jun 11, 2022","$1,359.95","$801.45","$318.36","$1,041.59","-$79.00",
"Jun 12, 2022","$811.23","$528.64","$277.00","$534.23","",
"Jun 13, 2022","$657.16","$267.60","$348.70","$308.46","-$241.22",
"Jun 14, 2022","$1,403.78","$828.29","$618.02","$785.76","-$79.00",
"Jun 15, 2022","$1,928.80","$1,115.66","$844.76","$1,084.04","-$178.00",
"Jun 16, 2022","$1,357.08","$646.31","$630.06","$727.02","-$300.68",
"Jun 17, 2022","$2,713.04","$1,422.74","$1,159.32","$1,553.72","-$394.48",
"Jun 18, 2022","$645.25","$375.46","$256.21","$389.04","-$79.00",
"Jun 19, 2022","$416.70","$248.81","$85.52","$331.18","",
"Jun 20, 2022","$585.21","$19.38","$220.77","$364.44","-$545.71",
"Jun 21, 2022","$1,042.06","$500.86","$439.16","$602.90","-$268.47",
"Jun 22, 2022","$1,552.71","$793.50","$691.61","$861.10","-$254.28",
"Jun 23, 2022","$1,550.63","$914.72","$401.70","$1,148.93","-$85.52",
"Jun 24, 2022","$1,501.49","$874.07","$626.36","$875.13","-$129.00",
"Jun 25, 2022","$541.17","$213.17","$45.08","$496.09","-$187.30",
"Jun 26, 2022","$79.00","-$13.25","","$79.00","-$111.87",
"Jun 27, 2022","$566.62","$360.70","$487.62","$79.00","",
"Jun 28, 2022","$801.86","$375.25","$406.00","$395.86","-$259.22",
"Jun 29, 2022","$1,149.84","$475.25","$180.57","$969.27","-$333.35",
"Jun 30, 2022","$2,565.14","$1,623.64","$367.20","$2,197.94","",
"Jul 1, 2022","$776.42","$487.47","$415.51","$360.91","",
"Jul 2, 2022","$276.16","$173.52","$189.85","$86.31","",
"Jul 3, 2022","$990.07","$617.76","$614.58","$375.49","",
"Jul 4, 2022","$255.12","$99.81","$199.75","$55.37","-$90.85",
"Jul 5, 2022","$1,477.96","$802.32","$680.53","$797.43","-$235.66",
"Jul 6, 2022","$1,506.29","$941.68","$724.00","$782.29","",
"Jul 7, 2022","$649.15","$339.90","$246.70","$402.45","-$90.85",
"Jul 8, 2022","$1,046.60","$601.11","$360.97","$685.63","-$99.00",
"Jul 9, 2022","$700.50","$429.85","$314.90","$385.60","",
"Jul 10, 2022","$1,204.37","$761.27","$369.80","$834.57","",
"Jul 11, 2022","$1,037.51","$533.17","$714.50","$323.01","-$173.80",
"Jul 12, 2022","$1,937.55","$1,115.43","$1,388.60","$548.95","-$159.43",
"Jul 13, 2022","$892.05","$500.35","$476.24","$415.81","-$98.01",
"Jul 14, 2022","$2,616.35","$1,402.22","$659.43","$1,956.92","-$347.79",
"Jul 15, 2022","$1,277.32","$499.12","$418.15","$859.17","-$447.85",
"Jul 16, 2022","$608.83","$181.25","$346.98","$261.85","-$267.35",
"Jul 17, 2022","$1,051.89","$603.55","$79.79","$972.10","-$113.85",
"Jul 18, 2022","$747.44","$333.66","$572.85","$174.59","-$215.82",
"Jul 19, 2022","$1,023.43","$654.79","$650.60","$372.83","",
"Jul 20, 2022","$1,758.17","$983.39","$669.99","$1,088.18","-$207.90",
"Jul 21, 2022","$1,235.13","$695.90","$823.51","$411.62","-$149.00",
"Jul 22, 2022","$984.64","$614.93","$503.45","$481.19","",
"Jul 23, 2022","$739.10","$474.33","$103.95","$635.15","",
"Jul 24, 2022","$780.01","$487.38","$79.00","$701.01","",
"Jul 25, 2022","$527.25","$274.30","$362.24","$165.01","-$99.00",
"Jul 26, 2022","$1,125.16","$715.29","$775.73","$349.43","",
"Jul 27, 2022","$1,143.71","$465.13","$895.31","$248.40","-$338.92",
"Jul 28, 2022","$1,926.78","$1,174.27","$336.60","$1,590.18","",
"Jul 29, 2022","$1,310.39","$757.94","$494.49","$815.90","-$83.74",
"Jul 30, 2022","$467.77","$234.14","","$467.77","-$118.80",
"Jul 31, 2022","$632.99","$407.46","$231.90","$401.09","",
"Aug 1, 2022","$1,172.67","$666.94","$798.52","$374.15","-$99.00",
"Aug 2, 2022","$812.00","$405.67","$485.00","$327.00","-$216.80",
"Aug 3, 2022","$1,510.81","$687.88","$750.55","$760.26","-$410.16",
"Aug 4, 2022","$1,447.66","$915.06","$934.30","$513.36","",
"Aug 5, 2022","$833.36","$523.38","$261.74","$571.62","",
"Aug 6, 2022","$573.95","$367.55","$99.00","$474.95","",
"Aug 7, 2022","$647.50","$341.28","$358.65","$288.85","-$118.80",
"Aug 8, 2022","$1,300.06","$554.96","$586.29","$713.77","-$415.48",
"Aug 9, 2022","$996.12","$413.88","$665.46","$330.66","-$321.52",
"Aug 10, 2022","$1,196.39","$546.76","$573.47","$622.92","-$319.87",
"Aug 11, 2022","$1,613.46","$893.74","$474.33","$1,139.13","-$177.31",
"Aug 12, 2022","$784.42","$427.16","$201.97","$582.45","-$94.80",
"Aug 13, 2022","$829.20","$453.52","$158.00","$671.20","-$99.00",
"Aug 14, 2022","$875.78","$571.39","$486.43","$389.35","",
"Aug 15, 2022","$407.64","$206.61","$164.32","$243.32","-$79.00",
"Aug 16, 2022","$1,562.74","$996.39","$610.11","$952.63","",
"Aug 17, 2022","$1,511.43","$954.88","$232.74","$1,278.69","",
"Aug 18, 2022","$1,198.59","$587.58","$775.80","$422.79","-$271.83",
"Aug 19, 2022","$1,017.04","$642.20","$711.95","$305.09","",
"Aug 20, 2022","$658.35","$393.59","$258.89","$399.46","",
"Aug 21, 2022","$397.87","$246.30","","$397.87","",
"Aug 22, 2022","$831.21","$394.16","$656.62","$174.59","-$197.59",
"Aug 23, 2022","$1,179.29","$647.48","$743.35","$435.94","-$149.00",
"Aug 24, 2022","$943.46","$438.09","$466.21","$477.25","-$267.37",
"Aug 25, 2022","$2,105.82","$1,094.30","$992.53","$1,113.29","-$327.00",
"Aug 26, 2022","$545.63","$282.65","$178.00","$367.63","-$79.00",
"Aug 27, 2022","$900.16","$542.13","$79.00","$821.16","",
"Aug 28, 2022","$1,019.55","$525.42","$276.50","$743.05","-$129.00",
"Aug 29, 2022","$661.57","$406.81","$495.67","$165.90","",
"Aug 30, 2022","$1,401.06","$835.37","$1,027.68","$373.38","-$79.00",
"Aug 31, 2022","$2,039.21","$1,275.89","$1,532.88","$506.33","",
"Sep 1, 2022","$2,068.15","$1,001.34","$1,406.35","$661.80","-$415.78",
"Sep 2, 2022","$2,027.70","$1,242.39","$563.90","$1,463.80","-$79.00",
"Sep 3, 2022","$782.79","$494.31","$113.85","$668.94","",
"Sep 4, 2022","$866.29","$546.98","$240.85","$625.44","",
"Sep 5, 2022","$1,293.43","$576.32","$860.73","$432.70","-$394.41",
"Sep 6, 2022","$1,058.47","$447.50","$708.71","$349.76","-$370.62",
"Sep 7, 2022","$1,960.61","$1,104.20","$1,267.94","$692.67","-$149.00",
"Sep 8, 2022","$1,131.77","$607.99","$533.68","$598.09","-$149.00",
"Sep 9, 2022","$1,458.84","$915.49","$671.27","$787.57","",
"Sep 10, 2022","$1,009.49","$613.68","$184.86","$824.63","",
"Sep 11, 2022","$588.25","$366.50","$88.48","$499.77","",
"Sep 12, 2022","$1,791.36","$1,001.80","$915.02","$876.34","-$189.85",
"Sep 13, 2022","$1,471.82","$922.20","$950.30","$521.52","",
"Sep 14, 2022","$1,945.81","$1,020.42","$917.58","$1,028.23","-$265.88",
"Sep 15, 2022","$1,010.54","$549.05","$372.59","$637.95","-$204.68",
"Sep 16, 2022","$2,175.79","$1,210.21","$1,013.49","$1,162.30","-$228.00",
"Sep 17, 2022","$566.70","$360.70","$94.01","$472.69","",
"Sep 18, 2022","$1,259.88","$808.80","$207.90","$1,051.98","",
"Sep 19, 2022","$709.42","$346.58","$270.77","$438.65","-$137.13",
"Sep 20, 2022","$1,165.20","$588.10","$643.57","$521.63","-$182.35",
"Sep 21, 2022","$1,476.32","$829.36","$758.03","$718.29","-$198.97",
"Sep 22, 2022","$1,344.56","$701.45","$410.62","$933.94","-$256.17",
"Sep 23, 2022","$1,844.80","$1,055.51","$409.12","$1,435.68","-$175.38",
"Sep 24, 2022","$771.01","$493.88","$190.41","$580.60","",
"Sep 25, 2022","$520.77","$267.34","$106.18","$414.59","-$94.01",
"Sep 26, 2022","$678.35","$435.13","$362.54","$315.81","",
"Sep 27, 2022","$1,350.37","$522.20","$839.77","$510.60","-$563.40",
"Sep 28, 2022","$1,223.22","$679.93","$247.17","$976.05","-$105.93",
"Sep 29, 2022","$1,033.08","$644.07","$272.60","$760.48","",
"Sep 30, 2022","$1,901.92","$1,108.17","$750.38","$1,151.54","-$117.99",
"Oct 1, 2022","$1,128.47","$707.50","","$1,128.47","",
"Oct 2, 2022","$1,273.24","$593.57","$479.27","$793.97","-$303.10",
"Oct 3, 2022","$1,439.46","$665.84","$1,007.51","$431.95","-$420.80",
"Oct 4, 2022","$2,244.37","$1,285.91","$1,102.79","$1,141.58","-$167.00",
"Oct 5, 2022","$1,782.71","$928.65","$1,047.24","$735.47","-$265.90",
"Oct 6, 2022","$1,339.94","$500.11","$812.93","$527.01","-$555.72",
"Oct 7, 2022","$2,037.65","$1,252.73","$1,064.96","$972.69","-$86.90",
"Oct 8, 2022","$728.40","$453.57","$186.04","$542.36","",
"Oct 9, 2022","$268.85","$173.69","","$268.85","",
"Oct 10, 2022","$751.57","$348.21","$298.78","$452.79","-$196.20",
"Oct 11, 2022","$2,412.63","$1,201.85","$1,800.58","$612.05","-$441.18",
"Oct 12, 2022","$1,366.97","$755.32","$500.08","$866.89","-$138.25",
"Oct 13, 2022","$2,129.31","$1,308.12","$878.35","$1,250.96","",
"Oct 14, 2022","$1,757.63","$1,095.64","$613.81","$1,143.82","",
"Oct 15, 2022","$839.60","$427.14","$239.85","$599.75","-$149.00",
"Oct 16, 2022","$949.31","$527.49","$119.79","$829.52","-$111.87",
"Oct 17, 2022","$1,830.87","$988.44","$1,109.42","$721.45","-$287.95",
"Oct 18, 2022","$1,912.05","$1,075.65","$803.70","$1,108.35","-$201.55",
"Oct 19, 2022","$1,322.71","$713.20","$483.97","$838.74","-$167.70",
"Oct 20, 2022","$1,090.07","$466.34","$481.68","$608.39","-$339.87",
"Oct 21, 2022","$1,551.31","$908.32","$803.92","$747.39","-$85.52",
"Oct 22, 2022","$1,078.44","$673.68","$266.90","$811.54","",
"Oct 23, 2022","$1,082.24","$683.53","$427.77","$654.47","",
"Oct 24, 2022","$1,292.24","$801.05","$390.83","$901.41","",
"Oct 25, 2022","$1,848.22","$896.26","$1,143.81","$704.41","-$435.60",
"Oct 26, 2022","$1,533.00","$915.35","$1,095.09","$437.91","-$74.25",
"Oct 27, 2022","$1,676.77","$926.49","$773.35","$903.42","-$149.00",
"Oct 28, 2022","$2,591.47","$1,288.44","$982.69","$1,608.78","-$483.12",
"Oct 29, 2022","$1,309.25","$674.53","$99.00","$1,210.25","-$206.67",
"Oct 30, 2022","$1,094.01","$633.84","$375.60","$718.41","-$79.00",
"Oct 31, 2022","$1,029.69","$521.29","$816.84","$212.85","-$202.76",
"Nov 1, 2022","$1,415.56","$789.79","$595.53","$820.03","-$108.90",
"Nov 2, 2022","$1,269.80","$742.49","$547.08","$722.72","-$108.90",
"Nov 3, 2022","$1,625.37","$968.45","$1,020.72","$604.65","-$94.80",
"Nov 4, 2022","$1,346.51","$774.77","$198.00","$1,148.51","-$99.00",
"Nov 5, 2022","$345.28","$146.11","","$345.28","-$94.80",
"Nov 6, 2022","$708.58","$379.91","$260.70","$447.88","-$94.80",
"Nov 7, 2022","$1,341.75","$708.95","$1,033.07","$308.68","-$208.00",
"Nov 8, 2022","$1,583.74","$874.07","$657.81","$925.93","-$149.00",
"Nov 9, 2022","$1,903.87","$1,216.71","$1,284.18","$619.69","",
"Nov 10, 2022","$1,010.60","$406.89","$555.53","$455.07","-$383.82",
"Nov 11, 2022","$725.59","$121.41","$418.05","$307.54","-$487.23",
"Nov 12, 2022","$833.56","$476.59","$160.60","$672.96","-$113.83",
"Nov 13, 2022","$837.61","$321.05","$319.87","$517.74","-$321.24",
"Nov 14, 2022","$1,179.70","$614.70","$842.80","$336.90","-$214.13",
"Nov 15, 2022","$1,177.35","$614.46","$766.82","$410.53","-$236.06",
"Nov 16, 2022","$2,294.84","$1,383.26","$1,017.49","$1,277.35","-$79.00",
"Nov 17, 2022","$1,480.40","$874.82","$672.48","$807.92","-$118.80",
"Nov 18, 2022","$1,637.55","$596.13","$566.84","$1,070.71","-$716.65",
"Nov 19, 2022","$1,211.94","$754.60","$205.92","$1,006.02","",
"Nov 20, 2022","$522.73","$314.15","$193.66","$329.07","",
"Nov 21, 2022","$1,448.85","$668.12","$1,107.20","$341.65","-$420.35",
"Nov 22, 2022","$1,325.09","$811.30","$973.29","$351.80","",
"Nov 23, 2022","$1,627.67","$970.32","$778.35","$849.32","-$94.80",
"Nov 24, 2022","$2,081.48","$1,264.38","$781.43","$1,300.05","-$47.40",
"Nov 25, 2022","$1,761.17","$1,022.01","$1,220.67","$540.50","-$96.93",
"Nov 26, 2022","$972.85","$494.06","$400.81","$572.04","-$209.42",
"Nov 27, 2022","$2,133.02","$1,164.05","$638.38","$1,494.64","-$290.56",
"Nov 28, 2022","$1,523.98","$689.91","$1,009.61","$514.37","-$392.90",
"Nov 29, 2022","$2,947.05","$1,834.80","$1,268.05","$1,679.00","-$54.51",
"Nov 30, 2022","$2,484.37","$1,513.97","$633.82","$1,850.55","-$79.00",
"Dec 1, 2022","$1,917.35","$1,062.79","$485.94","$1,431.41","-$199.41",
"Dec 2, 2022","$1,741.97","$968.44","$511.79","$1,230.18","-$212.55",
"Dec 3, 2022","$1,536.06","$983.01","$228.00","$1,308.06","",
"Dec 4, 2022","$811.34","$327.37","","$811.34","-$266.32",
"Dec 5, 2022","$788.96","$348.07","$351.92","$437.04","-$230.11",
"Dec 6, 2022","$1,499.59","$678.27","$822.76","$676.83","-$364.39",
"Dec 7, 2022","$1,348.71","$713.87","$434.39","$914.32","-$203.20",
"Dec 8, 2022","$928.76","$480.99","$607.82","$320.94","-$188.40",
"Dec 9, 2022","$1,180.68","$468.51","$631.25","$549.43","-$462.47",
"Dec 10, 2022","$1,013.83","$641.54","$302.61","$711.22","",
"Dec 11, 2022","$719.15","$453.77","$189.85","$529.30","",
"Dec 12, 2022","$1,441.79","$778.94","$911.45","$530.34","-$208.99",
"Dec 13, 2022","$1,599.89","$945.35","$1,077.02","$522.87","-$107.17",
"Dec 14, 2022","$1,249.32","$609.23","$508.52","$740.80","-$178.00",
"Dec 15, 2022","$1,589.00","$852.07","$669.60","$919.40","-$233.27",
"Dec 16, 2022","$1,139.02","$516.85","$1,060.02","$79.00","-$338.85",
"Dec 17, 2022","$1,305.26","$813.31","$99.00","$1,206.26","",
"Dec 18, 2022","$826.71","$461.28","$169.85","$656.86","-$99.00",
"Dec 19, 2022","$1,474.86","$773.32","$825.85","$649.01","-$238.40",
"Dec 20, 2022","$855.21","$514.19","$571.62","$283.59","",
"Dec 21, 2022","$774.77","$420.48","$487.87","$286.90","-$142.28",
"Dec 22, 2022","$1,587.01","$936.10","$944.03","$642.98","-$79.00",
"Dec 23, 2022","$401.54","$254.62","$149.00","$252.54","",
"Dec 24, 2022","$613.60","$387.62","$99.00","$514.60","",
"Dec 25, 2022","$190.36","$120.21","$83.74","$106.62","",
"Dec 26, 2022","$85.81","-$13.53","$85.81","","-$105.93",
